Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments
Spring ,25/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1315.6,1.4%,19,1.47,27,2,46.08,19,12,2
Spring ,26/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1479,1.9%,28,0.98,27,2,13.44,23,21,2
Spring ,27/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1472.2,2.0%,29,0.32,9,4,24.96,59,12,3
Spring ,28/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1356,1.1%,15,1.25,19,1,35.52,33,1,11
Spring ,29/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,904,1.3%,12,1.32,15,5,10.56,22,18,8
Spring ,30/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1424.2,1.6%,23,0.67,15,3,52.42,34,4,3
Spring ,31/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1372.8,1.0%,14,0.05,1,1,56.45,49,2,6
Spring ,01/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,807,1.2%,10,0.47,4,0,43.01,60,13,11
Spring ,02/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1011.4,1.9%,19,0.18,3,0,59.14,50,14,5
Spring ,03/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1605,1.6%,25,0.87,22,3,57.79,8,3,2
Spring ,04/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1111,1.9%,21,0.72,15,5,23.04,15,16,3
Spring ,05/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1035.8,1.4%,14,0.90,13,5,16.32,46,13,6
Spring ,06/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,957.2,1.2%,11,0.84,9,3,57.60,37,1,8
Spring ,07/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1057.8,1.7%,18,1.22,22,3,35.52,60,7,5
Spring ,08/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1459.6,1.7%,24,0.08,2,3,23.04,20,5,9
Spring ,09/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1062.2,1.2%,13,0.58,8,4,43.68,48,11,9
Spring ,10/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1137.4,1.5%,17,0.31,5,5,1.92,22,12,0
Spring ,11/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1158,1.3%,15,0.43,6,2,45.02,49,2,6
Spring ,12/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1227.2,1.2%,14,0.35,5,5,22.08,13,3,0
Spring ,13/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1416.2,1.8%,25,1.02,26,3,38.40,55,2,9
Spring ,14/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1042,1.8%,19,0.68,13,0,50.88,40,1,9
Spring ,15/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,896.6,1.4%,12,0.49,6,2,8.64,50,3,0
Spring ,16/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1483.4,1.3%,20,1.29,26,2,36.48,11,3,0
Spring ,17/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,724.6,1.2%,9,1.45,13,4,0.96,24,4,9
Spring ,18/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,931.2,1.5%,14,0.68,9,0,95.42,53,24,8
Spring ,19/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,863,1.2%,10,0.86,9,0,51.74,25,1,9
Spring ,20/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1147,1.5%,18,0.85,15,4,131.71,41,8,0
Spring ,21/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1421.4,1.8%,25,0.15,4,1,144.48,32,9,11
Spring ,22/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1060,1.8%,19,1.43,27,4,210.34,61,2,5
Spring ,23/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,829,1.6%,13,1.44,19,3,102.14,73,22,8
Spring ,24/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,971.2,1.8%,17,0.44,8,2,57.12,70,9,2
Spring ,25/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1084.6,1.4%,15,0.84,12,2,56.64,27,23,3
Spring ,26/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1448.2,1.8%,26,0.76,20,2,47.04,82,4,8
Spring ,27/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1066.8,1.8%,19,1.54,29,4,53.09,74,16,9
Spring ,28/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1753,1.6%,27,1.01,27,2,7.68,67,11,2
Spring ,29/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1474.2,1.5%,23,1.18,27,3,33.60,70,3,3
Spring ,30/04/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,980.8,1.0%,10,1.10,11,0,55.78,28,0,6
Spring ,01/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1495.6,1.2%,19,1.44,27,4,42.34,66,5,9
Spring ,02/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1519.4,1.3%,20,0.49,10,3,43.68,70,5,5
Spring ,03/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1335.4,1.4%,19,0.99,19,0,92.06,57,1,0
Spring ,04/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1128.8,1.4%,15,1.29,20,1,35.52,12,17,9
Spring ,05/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,770.2,1.6%,12,0.43,5,1,32.64,50,20,11
Spring ,06/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1307.6,1.5%,20,0.98,19,3,81.98,16,22,8
Spring ,07/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,867.6,1.7%,14,1.64,24,2,92.74,24,17,9
Spring ,08/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1138.2,1.4%,16,0.39,6,2,183.46,58,7,3
Spring ,09/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,837.8,1.4%,12,1.75,21,5,18.24,42,9,8
Spring ,10/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,773.6,1.4%,11,0.82,9,3,14.40,9,21,8
Spring ,11/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1337.2,1.4%,19,1.32,25,3,42.24,61,1,5
Spring ,12/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1588.2,1.5%,23,0.61,14,3,50.88,48,3,6
Spring ,13/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,870.6,2.0%,17,0.38,7,2,46.08,66,3,11
Spring ,14/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,926.4,1.8%,17,0.68,11,4,2.88,54,4,2
Spring ,15/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1438.6,1.2%,17,1.31,22,5,13.44,53,12,0
Spring ,16/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1242.2,2.0%,24,1.45,35,3,3.84,79,7,2
Spring ,17/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1567.6,1.7%,26,0.45,12,5,26.88,53,8,5
Spring ,18/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1502.6,1.5%,22,1.46,32,4,8.64,28,23,0
Spring ,19/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1299,1.4%,18,1.10,19,4,52.80,76,2,3
Spring ,20/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1495.4,1.8%,28,0.67,18,2,46.37,76,1,2
Spring ,21/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1034.8,1.3%,14,0.40,6,2,12.48,54,16,2
Spring ,22/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1395.8,1.1%,16,0.79,13,0,169.34,54,4,8
Spring ,23/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,842.6,1.5%,12,1.20,15,2,85.34,45,9,12
Spring ,24/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1593,1.8%,28,1.47,41,3,152.54,25,15,6
Spring ,25/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1734.6,1.7%,29,0.58,17,5,63.84,45,5,0
Spring ,26/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1465.8,1.2%,18,0.90,16,0,95.42,62,2,6
Spring ,27/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1732.4,1.8%,31,0.94,29,2,122.30,61,1,2
Spring ,28/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1104.8,1.3%,14,1.35,19,2,179.42,30,2,8
Spring ,29/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,786,1.7%,13,0.98,13,3,28.80,57,2,9
Spring ,30/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1082,1.4%,15,0.35,5,0,167.33,23,16,6
Spring ,31/05/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,907.4,1.9%,17,0.90,15,4,69.22,50,18,9
Summer ,01/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,505,1.5%,7,0.52,4,3,49.92,30,13,0
Summer ,02/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,588,1.3%,8,0.77,6,3,138.43,72,1,6
Summer ,03/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,494.3,1.7%,9,0.82,7,5,53.76,60,5,18
Summer ,04/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,440.7,1.3%,6,0.98,5,1,108.19,19,5,8
Summer ,05/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,723.2,1.2%,9,1.44,13,4,9.60,29,1,0
Summer ,06/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,950.5,1.1%,10,0.92,9,6,55.78,30,5,2
Summer ,07/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,848.9,1.7%,14,0.74,10,6,157.92,48,26,0
Summer ,08/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,663.8,1.7%,11,1.48,16,4,290.30,46,3,8
Summer ,09/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,727.3,1.2%,9,1.08,9,4,222.43,57,10,2
Summer ,10/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,588.1,1.4%,8,1.41,12,7,104.16,30,25,14
Summer ,11/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,369.3,1.4%,5,0.94,5,5,48.38,59,4,12
Summer ,12/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,440.4,1.5%,7,0.66,4,2,144.48,37,27,12
Summer ,13/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,779.8,1.3%,10,1.51,15,3,13.44,34,21,2
Summer ,14/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,504.5,1.5%,8,1.14,9,1,73.25,42,9,9
Summer ,15/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,476,1.3%,6,0.21,1,4,41.28,23,22,3
Summer ,16/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,232.3,1.2%,3,0.70,2,3,4.80,64,3,17
Summer ,17/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,555,1.4%,8,0.75,6,5,181.44,73,22,2
Summer ,18/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,461.9,1.7%,8,1.15,9,5,105.50,58,22,14
Summer ,19/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,439.9,1.2%,5,1.53,8,3,2.88,62,6,8
Summer ,20/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1030.9,1.7%,17,0.93,16,4,85.34,34,19,8
Summer ,21/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,406.4,1.5%,6,0.70,4,6,51.84,32,7,8
Summer ,22/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,562.2,1.4%,8,0.77,6,3,10.56,53,13,18
Summer ,23/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,242.7,1.2%,3,0.60,2,1,3.84,67,10,12
Summer ,24/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,986,1.5%,14,0.59,9,4,168.00,52,21,8
Summer ,25/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,345.4,1.1%,4,0.79,3,4,121.63,75,16,5
Summer ,26/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,538.9,1.3%,7,0.67,5,4,48.00,58,8,11
Summer ,27/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,301.8,1.2%,4,0.92,3,4,263.42,28,1,12
Summer ,28/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,926.5,1.7%,15,0.66,10,3,116.26,35,18,5
Summer ,29/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,368.6,1.3%,5,1.12,5,5,16.32,28,17,6
Summer ,30/06/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,518.3,1.1%,6,0.70,4,6,69.22,58,13,6
Summer ,01/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,929.7,1.5%,14,1.12,16,7,16.32,26,7,2
Summer ,02/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,497.3,1.4%,7,0.17,1,3,75.94,73,17,20
Summer ,03/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,661.5,1.7%,12,0.72,8,1,104.83,74,7,14
Summer ,04/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,449.1,1.3%,6,1.12,7,6,25.92,55,2,12
Summer ,05/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,574.8,1.2%,7,1.06,7,4,61.15,43,4,3
Summer ,06/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,399.7,1.5%,6,1.02,6,5,65.86,71,21,9
Summer ,07/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,418.8,1.6%,7,0.43,3,2,49.92,44,19,9
Summer ,08/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1133.2,1.5%,17,0.85,14,5,21.12,34,14,18
Summer ,09/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,915.1,1.4%,13,1.08,14,6,21.12,19,13,12
Summer ,10/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,475.4,1.5%,7,1.53,11,4,10.56,61,14,14
Summer ,11/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,423.6,1.3%,5,0.59,3,6,158.59,78,28,15
Summer ,12/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,418.5,1.1%,5,1.23,6,2,48.38,74,14,18
Summer ,13/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,975.1,1.3%,13,0.82,10,5,30.72,77,14,6
Summer ,14/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,485,1.8%,8,1.40,12,3,57.12,48,2,3
Summer ,15/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,797.8,1.3%,10,1.64,17,3,105.50,52,27,2
Summer ,16/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,776.1,1.2%,9,1.09,10,5,57.12,39,3,8
Summer ,17/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,277.2,1.8%,5,0.68,3,0,58.46,25,14,9
Summer ,18/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,632.6,1.4%,9,0.41,4,1,108.86,77,26,18
Summer ,19/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,603.6,1.2%,7,0.52,4,2,55.78,28,27,15
Summer ,20/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,930.8,1.2%,12,0.24,3,1,56.45,65,5,11
Summer ,21/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,523,1.5%,8,0.72,6,0,87.36,73,32,3
Summer ,22/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,805,1.4%,11,0.26,3,1,17.28,56,27,0
Summer ,23/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,759.5,1.1%,9,1.55,13,1,95.42,68,24,6
Summer ,24/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,808.3,1.7%,14,0.43,6,0,55.78,53,9,5
Summer ,25/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,634.9,1.6%,10,0.37,4,2,53.76,60,4,8
Summer ,26/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,433.2,1.4%,6,1.12,7,2,59.14,55,14,3
Summer ,27/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,264.3,1.4%,4,0.07,0,3,92.06,56,19,9
Summer ,28/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,358.2,1.6%,6,1.21,7,2,182.11,32,3,6
Summer ,29/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,596.5,1.6%,10,1.43,14,1,22.08,65,17,5
Summer ,30/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,860.5,1.8%,15,1.17,18,1,186.14,54,23,2
Summer ,31/07/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,712,1.3%,9,0.64,6,1,171.36,52,24,14
Summer ,01/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,336.9,1.2%,4,1.10,5,1,54.43,44,7,3
Summer ,02/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,805.9,1.5%,12,1.33,16,5,104.83,49,14,9
Summer ,03/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,550.2,1.8%,10,0.81,8,2,146.50,69,13,14
Summer ,04/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1099.6,1.1%,12,1.01,12,3,63.17,28,3,6
Summer ,05/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1105.2,1.4%,15,0.08,1,0,41.28,47,23,11
Summer ,06/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,651.2,1.6%,10,0.75,8,2,54.43,30,24,0
Summer ,07/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,236,1.2%,3,1.30,4,3,214.37,72,22,8
Summer ,08/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,828.5,1.1%,9,1.36,13,3,67.87,66,25,15
Summer ,09/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,691.9,1.7%,11,1.23,14,2,11.52,54,9,11
Summer ,10/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,846.8,1.5%,12,1.06,13,2,278.21,54,15,5
Summer ,11/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1045.8,1.7%,17,0.43,7,3,103.49,30,11,6
Summer ,12/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,931.9,1.4%,13,1.09,14,2,301.06,54,12,6
Summer ,13/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,564.8,1.2%,7,1.31,9,2,48.96,68,0,12
Summer ,14/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,634,1.7%,10,1.45,15,3,408.58,36,2,5
Summer ,15/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,615,1.5%,9,0.87,8,2,242.59,55,6,9
Summer ,16/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,373.5,1.7%,6,0.78,5,1,293.66,65,22,11
Summer ,17/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,858.8,1.6%,14,1.15,16,4,55.10,67,28,9
Summer ,18/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,750.6,1.6%,12,0.67,8,2,84.00,65,17,8
Summer ,19/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,477.8,1.3%,6,1.38,9,1,73.92,59,7,8
Summer ,20/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,916.8,1.3%,12,1.53,18,1,24.96,42,26,8
Summer ,21/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,944.6,1.1%,10,0.28,3,3,274.85,66,6,2
Summer ,22/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,663.7,1.6%,10,0.47,5,2,233.18,20,23,5
Summer ,23/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,452.7,1.6%,7,1.43,10,5,33.60,78,18,5
Summer ,24/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,947.6,1.4%,13,1.06,14,2,34.56,49,27,11
Summer ,25/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,530.2,1.8%,9,0.31,3,3,180.77,39,30,12
Summer ,26/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,832.7,1.4%,12,0.32,4,1,137.09,69,16,5
Summer ,27/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,918.5,1.5%,13,0.24,3,2,6.72,47,19,11
Summer ,28/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,323.2,1.8%,6,0.41,2,5,3.84,29,29,3
Summer ,29/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,563.2,1.1%,6,0.45,3,0,16.32,41,22,15
Summer ,30/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,424.5,1.5%,6,0.22,1,2,55.10,32,8,0
Summer ,31/08/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,606.4,1.1%,7,0.75,5,2,103.49,64,26,8
Fall ,01/09/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1841,1.7%,32,0.86,27,1,67.20,71,6,6
Fall ,02/09/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,2138,1.3%,27,1.02,27,0,93.41,73,19,9
Fall ,03/09/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1448,1.8%,26,0.38,10,1,92.06,74,21,3
Fall ,04/09/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1442,1.9%,27,1.66,44,2,57.79,55,35,12
Fall ,05/09/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1497,1.1%,17,1.00,17,3,171.36,68,6,0
Fall ,06/09/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1581,1.4%,22,1.31,29,0,26.88,86,18,8
Fall ,07/09/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1741,1.1%,20,1.24,25,2,42.34,52,32,11
